Subnum,Condition,Phase,Option,Value,err,abs_err,BestOption,Confidence,CA_diff,CA_diff_normalized,Value_normalized,BestOption_CA,training_accuracy
22,Baseline,1,A,0.81,0.16000000000000003,0.16000000000000003,0.6,3.0,,,0.5510204081632654,0.15,0.6916666666666667
22,Baseline,2,A,0.9,0.25,0.25,0.85,8.0,,,0.916030534351145,0.15,0.6916666666666667
22,Baseline,3,A,0.83,0.17999999999999994,0.17999999999999994,0.9,7.0,,,0.9014740108611325,0.15,0.6916666666666667
22,Baseline,4,A,0.75,0.09999999999999998,0.09999999999999998,0.7,10.0,,,0.75,0.15,0.6916666666666667
22,Baseline,5,A,0.65,0.0,0.0,0.6,7.0,,,0.6826706676669168,0.15,0.6916666666666667
22,Baseline,7,A,0.75,0.09999999999999998,0.09999999999999998,0.55,5.0,,,0.6666666666666666,0.15,0.6916666666666667
22,Frequency,1,A,0.75,0.09999999999999998,0.09999999999999998,0.6,5.0,,,0.6666666666666666,0.4,0.5083333333333333
22,Frequency,5,A,0.6,-0.050000000000000044,0.050000000000000044,0.55,7.0,,,0.6666666666666666,0.4,0.5083333333333333
23,Baseline,1,A,0.6,-0.050000000000000044,0.050000000000000044,0.65,7.0,0.0,0.6896551724137931,0.8588957055214723,0.0,0.5833333333333333
23,Baseline,2,A,0.45,-0.2,0.2,0.6,5.0,0.0,0.6896551724137931,0.6373937677053824,0.0,0.5833333333333333
23,Baseline,3,A,0.8,0.15000000000000002,0.15000000000000002,0.7,4.0,0.0,0.6896551724137931,0.7710843373493975,0.0,0.5833333333333333
23,Baseline,4,A,0.6,-0.050000000000000044,0.050000000000000044,0.6,1.0,0.0,0.6896551724137931,0.20689655172413793,0.0,0.5833333333333333
23,Baseline,5,A,0.5,-0.15000000000000002,0.15000000000000002,0.45,1.0,0.0,0.6896551724137931,0.17699115044247787,0.0,0.5833333333333333
23,Baseline,6,A,0.5,-0.15000000000000002,0.15000000000000002,0.5,1.0,0.0,0.6896551724137931,0.1149425287356322,0.0,0.5833333333333333
23,Baseline,7,A,0.4,-0.25,0.25,0.5,2.0,0.0,0.6896551724137931,0.4266666666666667,0.0,0.5833333333333333
23,Frequency,1,A,0.2,-0.45,0.45,0.3,1.0,-0.30000000000000004,-1.4285714285714284,0.0272108843537415,0.3,0.4166666666666666
23,Frequency,2,A,0.2,-0.45,0.45,0.35,1.0,-0.30000000000000004,-1.4285714285714284,0.029411764705882356,0.3,0.4166666666666666
23,Frequency,3,A,0.6,-0.050000000000000044,0.050000000000000044,0.65,6.0,-0.30000000000000004,-1.4285714285714284,0.6728971962616822,0.3,0.4166666666666666
23,Frequency,4,A,0.2,-0.45,0.45,0.4,1.0,-0.30000000000000004,-1.4285714285714284,0.06666666666666667,0.3,0.4166666666666666
23,Frequency,5,A,0.5,-0.15000000000000002,0.15000000000000002,0.3,2.0,-0.30000000000000004,-1.4285714285714284,0.46511627906976744,0.3,0.4166666666666666
23,Frequency,6,A,0.8,0.15000000000000002,0.15000000000000002,0.5,10.0,-0.30000000000000004,-1.4285714285714284,1.6326530612244896,0.3,0.4166666666666666
23,Frequency,7,A,0.5,-0.15000000000000002,0.15000000000000002,0.5125,6.0,-0.30000000000000004,-1.4285714285714284,0.7142857142857143,0.3,0.4166666666666666
24,Baseline,1,A,0.82,0.16999999999999993,0.16999999999999993,0.45,8.0,0.58,0.04621848739495804,,0.95,0.575
24,Baseline,2,A,0.82,0.16999999999999993,0.16999999999999993,0.5,5.0,0.58,0.04621848739495804,0.5762473647224173,0.95,0.575
24,Baseline,3,A,0.4,-0.25,0.25,0.6,5.0,0.58,0.04621848739495804,0.30075187969924816,0.95,0.575
24,Baseline,4,A,1.12,0.4700000000000001,0.4700000000000001,0.45,6.0,0.58,0.04621848739495804,0.8865435356200528,0.95,0.575
24,Baseline,5,A,1.4,0.7499999999999999,0.7499999999999999,0.75,8.0,0.58,0.04621848739495804,1.2430632630410654,0.95,0.575
24,Baseline,6,A,0.82,0.16999999999999993,0.16999999999999993,0.7,8.0,0.58,0.04621848739495804,0.6890756302521008,0.95,0.575
24,Baseline,7,A,0.82,0.16999999999999993,0.16999999999999993,0.4875,3.0,0.58,0.04621848739495804,0.34968017057569295,0.95,0.575
24,Frequency,1,A,0.6,-0.050000000000000044,0.050000000000000044,0.4,5.0,0.10000000000000009,-0.24733475479744127,0.4590665646518745,0.85,0.4999999999999999
24,Frequency,2,A,1.02,0.37,0.37,0.35,5.0,0.10000000000000009,-0.24733475479744127,0.8095238095238094,0.85,0.4999999999999999
24,Frequency,3,A,1.02,0.37,0.37,0.55,5.0,0.10000000000000009,-0.24733475479744127,0.7249466950959488,0.85,0.4999999999999999
24,Frequency,4,A,1.4,0.7499999999999999,0.7499999999999999,0.6,5.0,0.10000000000000009,-0.24733475479744127,0.9655172413793104,0.85,0.4999999999999999
24,Frequency,5,A,1.4,0.7499999999999999,0.7499999999999999,0.55,5.0,0.10000000000000009,-0.24733475479744127,0.9655172413793104,0.85,0.4999999999999999
24,Frequency,6,A,1.02,0.37,0.37,0.55,5.0,0.10000000000000009,-0.24733475479744127,0.7249466950959488,0.85,0.4999999999999999
24,Frequency,7,A,1.02,0.37,0.37,0.675,5.0,0.10000000000000009,-0.24733475479744127,0.8095238095238094,0.85,0.4999999999999999
26,Baseline,1,A,0.7,0.04999999999999993,0.04999999999999993,0.55,10.0,0.30000000000000004,0.25531914893617025,1.7721518987341773,0.95,0.625
26,Baseline,2,A,0.7,0.04999999999999993,0.04999999999999993,0.55,7.0,0.30000000000000004,0.25531914893617025,0.7050359712230215,0.95,0.625
26,Baseline,3,A,1.0,0.35,0.35,0.6,10.0,0.30000000000000004,0.25531914893617025,1.0204081632653061,0.95,0.625
